site_no,aridity
06446700,0.2859671349378305
06447500,0.2908478659289295
06449000,0.2863777579608663
06449100,0.29154427271778705
06449500,0.2963435467688769
06461500,0.2779098154949038
06464100,0.31834477187166993
06464500,0.32553078554872666
06652000,0.24721144676711118
06657000,0.24537024398040144
06670500,0.25044039140171626
06674500,0.24442081351061362
06762500,0.23582432199067266
06764880,0.25797351759639037
06768000,0.2532947600621994
06768020,0.2525517215428727
06768035,0.2535144907859307
06769000,0.3560774991723832
06769525,0.3478563368381537
06770200,0.2545870709393883
06770500,0.25540019134978603
06772775,0.3888457881204365
06772898,0.413311354239559
06773500,0.3940300212271702
06775500,0.3002807445121987
06775900,0.28677176901834833
06784000,0.349539775628928
06785000,0.33310233732655453
06785500,0.3097951656524253
06786000,0.31753786195041284
06792500,0.3440495673788108
06793000,0.3441219962129972
06794000,0.3440495673788108
06794650,0.44814612262348874
06795500,0.34595238376789
06796500,0.27932404121209164
06797500,0.38078202537104805
06799000,0.390214279879007
06799100,0.4176931845103971
06799315,0.40117750555560805
06799350,0.4045324442317235
06800000,0.46784750528636987
06821500,0.2279216399412878
06823000,0.23202043223167884
06823500,0.2379948425347619
06824000,0.24103638421619042
06824500,0.2310403013891551
06827000,0.23265368004589237
06827500,0.2339489285540161
06828500,0.23461917725073572
06834000,0.24280185092925025
06835500,0.2535241929164777
06836500,0.2696078802369116
06837000,0.24311632767002073
06838000,0.2815709216051055
06843500,0.2508683150376202
06844500,0.25631019501295127
06845110,0.2627224736413049
06846500,0.2500622932435265
06847000,0.2565860092579093
06847500,0.26379993450225864
06847900,0.268462746493408
06848500,0.2859782270242133
06852500,0.38091318371858357
06853020,0.26666389168984866
06853500,0.2683454494572645
06880800,0.41358667958187767
07138070,0.21115200071040358
07139000,0.2112190884359377
07140850,0.2407983456101556
07141200,0.2507515179127168
07141220,0.21817895429041595
07141300,0.21914213697403903
07141780,0.25513282400107556
07141900,0.26329860885340994
07142300,0.2943182713393069
07142575,0.30157175588362056
07142680,0.2268210192647876
07143300,0.3477471714795632
07143330,0.23098012493082548
07143375,0.2320678498114967
07143665,0.39291670249985505
07143672,0.39395253575454875
07144100,0.4033324860685737
07144200,0.4049487407018515
07144910,0.310865116275297
07155590,0.18510395499244958
07156900,0.19325400442176396
07157500,0.23810156354325548
07228000,0.19776139276522317
07233500,0.19024412584993172
07234000,0.19219940520226786
07235000,0.22816356495530404
07295500,0.18955024888758124
07299890,0.2315556916419047
08080700,0.18941665996048562
