site_no,coastal_sediment_fine
06827000,0.01735878260186966
06835500,0.0439583877790336
06848500,0.104301930684997
07142575,0.14315567988497233
07155590,0.02278713483640121
06836500,0.04419803966130931
07228000,0.09549969682199802
06449100,0.15397948260045355
08080700,0
06794000,0.084368861605441
07299890,0
06461500,0.02353358166506243
06768000,0.1157004216191092
07140850,0.09914172451935233
06768035,0.11563907056758196
06800000,0.11666381466893357
06447500,0.10476266301727293
06792500,0.084368861605441
07138070,0.1042260126231392
06449500,0.09409582946005692
06799100,0.21529060692665597
07143665,0.2177144913065285
06834000,0.02664234898033569
07233500,0.0098358554977412
06768020,0.11353952184304662
06799350,0.2103307331225295
07144910,0.27443228002271397
06824000,0.0042993756589266
06773500,0.5645303148139508
06796500,0.13346758575468354
06764880,0.1265094255208993
06824500,0.03313994172903702
06785000,0.07069908876776483
06827500,0.03235719006759031
06449000,0.3484624056531953
06772775,1
06446700,0.04893743430015519
07235000,0.00451552976817253
07139000,0.10320038934281509
06464500,0.05467636743358716
06674500,0.1091658958645396
07143300,0.14125721316853676
06797500,0.26059644507924945
06799315,0.218921040224485
06821500,0.03164494267927694
06769000,1
07141900,0.09876793598406548
07141220,0.107904196509066
07142300,0.09681483293553088
06837000,0.04235743824263032
07142680,0.11601017803677866
06793000,0.08535865059915988
06772898,0.9911830052820864
06852500,0.31489973899134627
06844500,0.04387301456425076
06775500,0.04470457672556632
06464100,0.0438756824696846
06799000,0.25828077556505125
06853020,0.06811259315452495
06652000,0.07474343679266766
06770500,0.12291000156722712
07143330,0.12396948885512568
07141300,0.11051844133745745
07234000,0.01817150727638975
06794650,0.6799636436522069
06843500,0.0405226605356111
07156900,0.04896358410722567
06795500,0.08476236728738878
07157500,0.15416390573548652
06847900,0.03881634419917531
07144100,0.4562701872164741
07143672,0.23144608898722993
07143375,0.12785412703204554
06880800,0.2601186277052352
06847500,0.04820507971117681
07295500,0
06657000,0.07150036261593024
06670500,0.23146360502953875
06775900,0.04995268973398828
06769525,0.07696142905460303
06847000,0.04492795477585899
06786000,0.08250815028320824
06784000,0.07177391632781567
06785500,0.07222044573287839
07144200,0.4764991622461015
06853500,0.07764674975827673
06770200,0.11981345815028072
06762500,0.1468685395579488
06828500,0.03671079651616154
06823000,0.01722160716788583
06823500,0
06846500,0.03244234055117016
06845110,0.0309073895311644
07141780,0.06429185149059456
07141200,0.09957001718659214
06838000,0.02066334102882885
