site_no,drainage_area
06827000,3.61744695513849
06835500,3.809690336845471
06848500,6.473208000417266
07142575,57.71935971993892
07155590,61.848095162888406
06836500,85.66833560401311
07228000,86.15711455431392
06449100,128.66172309404052
08080700,134.28525954390432
06794000,135.12302118923154
07299890,135.34383014204
06461500,159.73836978039012
06768000,161.25814207175392
07140850,165.2239849818859
06768035,170.9420230298967
06800000,172.97340673321983
06447500,189.8699634458285
06792500,192.16804824272668
07138070,201.27771398012408
06449500,221.4639814579033
06799100,226.20849322880335
07143665,252.8887763907419
06834000,255.31931965561796
07233500,278.8792133919935
06768020,312.72645154298135
06799350,387.14642420323054
07144910,500.9910665508614
06824000,606.564827736577
06773500,627.4793656092547
06796500,646.9210091750807
06764880,672.9577910418252
06824500,672.9577910418252
06785000,701.0485715060134
06827500,753.399885341654
06449000,785.1207886503919
06772775,935.06414530677
06446700,971.1476699620268
07235000,988.287906894754
07139000,1049.0914397460317
06464500,1185.9430389903862
06674500,1281.8270138022397
07143300,1377.8681559447734
06797500,1422.9472223623193
06799315,1787.576860536583
06821500,1801.264270328441
06769000,1822.9521939477772
07141900,1916.9848551918903
07141220,1995.4564485917963
07142300,2012.152262849462
06837000,2098.8543537754
07142680,2247.224854430116
06793000,2286.9171333883105
06772898,2361.0210732634414
06852500,2419.7865383754834
06844500,2442.3560550885063
06775500,2445.4251692055004
06464100,2631.064754615254
06799000,2806.425616108813
06853020,2852.0319860926593
06652000,2927.5451823395583
06770500,2972.593390014239
07143330,2990.8044516021873
07141300,3414.1247030802497
07234000,3781.4800621417194
06794650,3798.951219195429
06843500,4142.377668828761
07156900,4196.593696740278
06795500,4349.044377467065
07157500,4405.676718821418
06847900,4444.738929345653
07144100,4668.235441843766
07143672,4774.173872178313
07143375,4842.172863925112
06880800,5221.881718277599
06847500,5577.266447682021
07295500,6416.004980161848
06657000,6731.359275185733
06670500,6731.359275185733
06775900,9095.542385592416
06769525,9593.874460833424
06847000,10311.426511757414
06786000,10475.06329976597
06784000,10577.712723618552
06785500,11094.29048629546
07144200,12926.40868735485
06853500,16723.34088075639
06770200,35512.095549446014
06762500,55122.64516227648
06828500,59576.5671053972
06823000,73641.5165055203
06823500,75010.8353997162
06846500,84234.24426883641
06845110,93638.78153514938
07141780,96814.6032796261
07141200,97143.48646075717
06838000,145369.0301209804
