site_no,forest
06827000,1.1925636096447464e-4
06835500,4.371978444188498e-5
06848500,1.8970719263565385e-4
07142575,3.623858420400758e-4
07155590,0.10162005199023398
06836500,0
07228000,0.09536267058025169
06449100,2.598523884026469e-4
08080700,0
06794000,0.005309384549422831
07299890,0.01675633064275216
06461500,0.006732981027744823
06768000,0.1084197756423221
07140850,6.776496861999108e-4
06768035,0.10817854922092525
06800000,0.00309919443414175
06447500,1.6700990448956053e-4
06792500,0.005309384549422831
07138070,0.13441548805973375
06449500,0.036790622981388424
06799100,0.00439045719068854
07143665,0.022842905546755082
06834000,4.03048182522886e-5
07233500,9.904372023574476e-5
06768020,0.1096224158477974
06799350,0.004847740630615372
07144910,6.59462433520537e-4
06824000,0
06773500,3.2314051141093045e-4
06796500,0.08319238916133756
06764880,0.1463211152485262
06824500,8.603971458079083e-5
06785000,0.004737104481511883
06827500,9.215592496088588e-5
06449000,0
06772775,0
06446700,0.03677545160152135
07235000,6.69258302287896e-5
07139000,0.13033247812590143
06464500,1.98213516748991e-4
06674500,0.12117075301010749
07143300,0.01756520024404112
06797500,2.9234820439866173e-4
06799315,0.004677921625080909
06821500,1.643752690910411e-4
06769000,0
07141900,7.344940942103919e-4
07141220,0.11164637358992156
07142300,0
06837000,6.335686687132453e-5
07142680,0.09957923523488948
06793000,0.005273325574420427
06772898,0
06852500,8.389748347624323e-4
06844500,2.8037126624200134e-4
06775500,0.0016694946685320458
06464100,8.742350133304225e-5
06799000,0.003797516293898522
06853020,8.586739252154084e-4
06652000,0.13409631965217145
06770500,0.10613166401007584
07143330,0.09667483000874182
07141300,0.11052428496554771
07234000,0.00212616826318262
06794650,0.00781580903413896
06843500,2.878391594544595e-4
07156900,0.04519578028610872
06795500,0.005279640643036561
07157500,0.00136119802425508
06847900,1.360610081523046e-4
07144100,0.02318975914044197
07143672,0.023713940352594356
07143375,0.09620162965750947
06880800,0.00956963545237136
06847500,2.791625082986552e-5
07295500,0
06657000,0.1311774059995395
06670500,0.11613750689272001
06775900,0.005481062934511391
06769525,0
06847000,0
06786000,4.642619162349759e-4
06784000,0.004944810962496808
06785500,9.032346111536418e-5
07144200,0.022991422035674797
06853500,0.001052530470745735
06770200,0.10691046238627558
06762500,0.012847417478816403
06828500,7.96635176866718e-5
06823000,0
06823500,0
06846500,0
06845110,7.292980294195062e-5
07141780,4.1928385113653494e-5
07141200,4.1756625039373767e-4
06838000,1.7124522229901987e-4
