site_no,open_water
06827000,1.331738261069167e-5
06835500,5.702424965946735e-4
06848500,0.00238124814369367
07142575,1.6052973370887856e-4
07155590,3.9322756962781255e-5
06836500,0
07228000,0.00231253416022682
06449100,0.01060630811818916
08080700,7.073784815484257e-4
06794000,0.00850588628508654
07299890,0
06461500,0.00767171635609327
06768000,0.0080851919043315
07140850,3.387273097372708e-4
06768035,0.00809007492215338
06800000,6.977453579982811e-4
06447500,0.00627429736111726
06792500,0.00850588628508654
07138070,0.00264672475069039
06449500,0.00797895228939559
06799100,0.00206080129280053
07143665,0.00267162943375703
06834000,9.0141548737709e-4
07233500,0.00111467445593386
06768020,0.00788433011974084
06799350,0.00561612541319938
07144910,8.793695533005366e-4
06824000,0
06773500,6.728871052215978e-4
06796500,0.00846759701063622
06764880,0.0066563000814333
06824500,1.398827246352946e-4
06785000,0.00652609882921872
06827500,2.0513580811803497e-5
06449000,0.02108137189052328
06772775,6.31048376469659e-4
06446700,2.5767908094194024e-4
07235000,0.00595640599986206
07139000,0.00263635639849523
06464500,0.00199210218995399
06674500,0.00763055338006582
07143300,3.0867565360638923e-4
06797500,0.00620590224550475
06799315,0.00508780444509235
06821500,1.490147971977857e-5
06769000,0
07141900,7.535228429458245e-4
07141220,0.00239559200908119
07142300,1.940520923312511e-4
06837000,8.347043746001386e-4
07142680,0.00235303194027639
06793000,0.00855297635011831
06772898,0
06852500,0.00341259334916158
06844500,0.00106835665544814
06775500,0.00990489032603452
06464100,0.00193831836125308
06799000,0.00626158352303635
06853020,0.00206846997010942
06652000,0.00698411320956477
06770500,0.00818998302591158
07143330,0.00268134636178712
07141300,0.00238538808612608
07234000,6.175341849714625e-4
06794650,0.00212060837429423
06843500,0.00110626452891928
07156900,2.3452774845738553e-4
06795500,0.00832337591495067
07157500,5.730630740004082e-4
06847900,9.02762917490566e-5
07144100,0.00268042596335579
07143672,0.0026020153347688
07143375,0.0027378408224495
06880800,0.00171800232415544
06847500,6.263450218223821e-5
07295500,0.00133099908480218
06657000,0.00766508422800776
06670500,0.00896212260590816
06775900,0.0073511737916373
06769525,0
06847000,9.253681158762092e-5
06786000,0.01087818512629601
06784000,0.00103452817362805
06785500,0.01179257005076825
07144200,0.00274344959949266
06853500,0.00208674344726551
06770200,0.00807116334949932
06762500,7.021772814545773e-5
06828500,1.2581647086128478e-4
06823000,2.1076506179180487e-4
06823500,1.0486450347170345e-4
06846500,9.529103578940656e-5
06845110,3.643063439604759e-5
07141780,6.711921330058939e-4
07141200,9.909233855810444e-4
06838000,0.00246761154356062
