site_no,pasture
06827000,0.03507394403718562
06835500,0.02160239050056519
06848500,0.00214930631134959
07142575,0.00117971985037479
07155590,0.0024725284072301
06836500,0.00189063839289286
07228000,0.0015888829139151
06449100,0.02125184366406518
08080700,0.00377513032455639
06794000,0.00149391484099919
07299890,0.00876654426235534
06461500,0.00539462426463683
06768000,0.01132325745483501
07140850,0.05227601751503251
06768035,0.01130017935204522
06800000,0.0027938405696466
06447500,0.02743952589325511
06792500,0.00149391484099919
07138070,0.00551661353780638
06449500,0.01367705634079317
06799100,0.0015962574750961
07143665,0.00183600706711771
06834000,0.02661115264381315
07233500,0.0035699269606579
06768020,0.0114206930930962
06799350,0.02009683858845499
07144910,6.594077439381448e-4
06824000,0
06773500,0.01353495494615299
06796500,0.00945308267370992
06764880,0.00892272873930287
06824500,0.0190277730902743
06785000,0.00106978640119859
06827500,0.02960468438334868
06449000,0.0190097823834787
06772775,0.02820199680721986
06446700,0.01754494743191745
07235000,0.00270614199421968
07139000,0.00642403156941729
06464500,0.01458768375536048
06674500,0.01621264153494836
07143300,0
06797500,0.03396480778569197
06799315,0.02131951552960272
06821500,0.02676300808835753
06769000,0.00574187950785345
07141900,0.0255039879383229
07141220,0.00981295978748211
07142300,0.00140087491774215
06837000,0.02031974835518474
07142680,0.00996404975956513
06793000,0.00154082025997586
06772898,0.02843154010477802
06852500,0.08217692794339237
06844500,0.0172573458651808
06775500,2.899915203016834e-4
06464100,0.02129323484633384
06799000,0.03280893782664818
06853020,0.01274778267116556
06652000,0.01598173927660292
06770500,0.01121199771757125
07143330,0.00966754100077461
07141300,0.00971382830706154
07234000,0.002171939191789
06794650,0.00122807382665817
06843500,0.01856042569446767
07156900,0.0103560760328154
06795500,0.00147587402697812
07157500,0.04797403501953712
06847900,0.00349225698787439
07144100,0.00217906960464463
07143672,0.00183464624416254
07143375,0.00961558388590197
06880800,8.093050542920234e-4
06847500,0.00411499119549713
07295500,0.00782586705774886
06657000,0.01630844249964216
06670500,0.01681081821776561
06775900,0.00103691576936058
06769525,6.96183022459867e-4
06847000,0.00410289541745887
06786000,3.8312899699432504e-4
06784000,0.0013336460772134
06785500,1.5055486272597522e-4
07144200,0.00223406492266235
06853500,0.01256965681978177
06770200,0.01123380471352078
06762500,0.00802609013602078
06828500,0.02183635781299962
06823000,0.01089143309194503
06823500,0.00429510827783624
06846500,0.00481580351022092
06845110,0.00494768443409105
07141780,0.02874780491990978
07141200,0.03706112708396994
06838000,0.02033210788509753
