site_no,silicic_residual
06827000,0
06835500,0
06848500,0
07142575,0
07155590,0.07529294264512952
06836500,0
07228000,0.06577633147071409
06449100,0
08080700,0
06794000,0
07299890,0
06461500,0
06768000,0.16112522727093953
07140850,0
06768035,0.160766935226798
06800000,0
06447500,0
06792500,0
07138070,0.12493355733939696
06449500,0
06799100,0
07143665,0
06834000,0
07233500,0
06768020,0.1630546038472719
06799350,0
07144910,0
06824000,0
06773500,0
06796500,0.12173290604340532
06764880,0.21034005115575813
06824500,0
06785000,0
06827500,0
06449000,0
06772775,0
06446700,0
07235000,0
07139000,0.12113915432160197
06464500,0
06674500,0.1848966029059784
07143300,0
06797500,0
06799315,0
06821500,0
06769000,0
07141900,0
07141220,0.10370243475407724
07142300,0
06837000,0
07142680,0.0923341628631168
06793000,0
06772898,0
06852500,0
06844500,0
06775500,0
06464100,0
06799000,0
06853020,0
06652000,0.16683384444956428
06770500,0.1577132849591043
07143330,0.08930529081232072
07141300,0.10264329081254212
07234000,0.0264631374864206
06794650,0
06843500,0
07156900,0.03341811896965899
06795500,0
07157500,0
06847900,0
07144100,0
07143672,0
07143375,0.08879134059300497
06880800,0
06847500,0
07295500,0
06657000,0.16302501851422307
06670500,0.3082092341151727
06775900,0
06769525,0
06847000,0
06786000,0
06784000,0
06785500,0
07144200,0
06853500,0
06770200,0.15887274759721864
06762500,0.05324177195695016
06828500,0
06823000,0
06823500,0
06846500,0
06845110,0
07141780,0
07141200,0
06838000,0
